eps,min_samples,clusters,noise,pleiades_cluster,pleiades_cluster_size,reference_members,reference_in_sample,tp,fp,fn,tn,precision,recall,f1,median_parallax,median_pmra,median_pmdec
0.2,120,2,8618,1,1150,958,881,881,269,0,34112,0.7660869565217391,1.0,0.8675529295913342,7.36847967759366,19.84948075565273,-45.4033322122767
0.2,200,2,10162,1,1137,958,881,881,256,0,34125,0.7748460861917327,1.0,0.873141724479683,7.368127350969552,19.84914439143686,-45.39827478952388
0.2,400,2,12224,1,1121,958,881,881,240,0,34141,0.7859054415700267,1.0,0.8801198801198801,7.3675798561772385,19.84914439143686,-45.39827478952388
0.25,10,5,2323,0,32896,958,881,881,32015,0,2366,0.026781371595330738,1.0,0.0521656748675134,1.1676008402196123,3.050484754700557,-5.691904935198677
0.25,15,2,2835,1,1237,958,881,881,356,0,34025,0.7122069523039612,1.0,0.8319169027384326,7.35529316322418,19.782617691627937,-45.33611629800369
0.25,20,2,3220,1,1234,958,881,881,353,0,34028,0.7139384116693679,1.0,0.833096926713948,7.356016274609463,19.783466987700823,-45.33849887969045
0.25,30,2,3796,1,1206,958,881,881,325,0,34056,0.7305140961857379,1.0,0.8442740776233828,7.361179451118083,19.831384735480285,-45.36405140779371
0.25,40,2,4270,1,1198,958,881,881,317,0,34064,0.7353923205342237,1.0,0.8475228475228475,7.362415980544292,19.835353579127965,-45.37468039539013
0.25,50,2,4661,1,1196,958,881,881,315,0,34066,0.7366220735785953,1.0,0.8483389504092441,7.3633702812055875,19.836948247271273,-45.37606715904805
0.25,60,2,4996,1,1187,958,881,881,306,0,34075,0.7422072451558551,1.0,0.8520309477756286,7.365650912464818,19.838197493850103,-45.387221011575406
0.25,70,2,5291,1,1186,958,881,881,305,0,34076,0.7428330522765598,1.0,0.8524431543299468,7.366550455503505,19.83912818192813,-45.38954235554006
0.25,80,2,5651,1,1180,958,881,881,299,0,34082,0.7466101694915255,1.0,0.8549247937894227,7.367499878565961,19.841835460753956,-45.39289163789397
0.25,120,2,6531,1,1172,958,881,881,291,0,34090,0.7517064846416383,1.0,0.8582562104237701,7.368195491068983,19.848340801899553,-45.39831887227533
0.25,200,2,7729,1,1165,958,881,881,284,0,34097,0.7562231759656652,1.0,0.8611925708699902,7.368263631168414,19.84914439143686,-45.39836295502678
0.25,400,2,9605,1,1153,958,881,881,272,0,34109,0.764093668690373,1.0,0.8662733529990168,7.368695724018906,19.84914439143686,-45.39836295502678
0.3,10,3,1761,0,33483,958,881,881,32602,0,1779,0.02631185974972374,1.0,0.051274589686881616,1.1832949872178518,3.1059952454434683,-5.756991796537921
0.3,15,1,2117,0,33145,958,881,881,32264,0,2117,0.02658017800573239,1.0,0.051783929935931346,1.1735845464596903,3.061939158212432,-5.724713569191488
0.3,20,2,2450,0,32795,958,881,881,31914,0,2467,0.026863851196828784,1.0,0.052322128518826456,1.1640299927353954,3.03439681186005,-5.670142266517932
0.3,30,2,2987,1,1222,958,881,881,341,0,34040,0.720949263502455,1.0,0.8378506894912031,7.3605345637454995,19.818114080006843,-45.35788626246527
0.3,40,2,3297,1,1213,958,881,881,332,0,34049,0.7262984336356142,1.0,0.8414517669531997,7.361154060952656,19.83037261193913,-45.36074605147149
0.3,50,2,3585,1,1208,958,881,881,327,0,34054,0.7293046357615894,1.0,0.8434657730971756,7.361253318059244,19.833394763642502,-45.368293285953804
0.3,60,2,3883,1,1206,958,881,881,325,0,34056,0.7305140961857379,1.0,0.8442740776233828,7.361680239947866,19.835353579127965,-45.37269571603649
0.3,70,2,4110,1,1203,958,881,881,322,0,34059,0.7323358270989194,1.0,0.8454894433781189,7.362773276027829,19.83631448999236,-45.375585014003214
0.3,80,2,4365,1,1195,958,881,881,314,0,34067,0.7372384937238494,1.0,0.8487475915221581,7.364247553292616,19.838197493850103,-45.37883391111224
0.3,120,2,5115,1,1191,958,881,881,310,0,34071,0.7397145256087322,1.0,0.8503861003861003,7.365399225658677,19.84005887000616,-45.38210001648304
0.3,200,2,6127,1,1185,958,881,881,304,0,34077,0.7434599156118143,1.0,0.8528557599225556,7.367549758589729,19.84753721236225,-45.39391957628321
0.3,400,2,7661,1,1173,958,881,881,292,0,34089,0.7510656436487638,1.0,0.8578383641674782,7.368127350969552,19.84914439143686,-45.39836295502678
0.35,10,4,1443,0,33771,958,881,881,32890,0,1491,0.026087471499215302,1.0,0.05084843587671708,1.1905003549139137,3.134510893522795,-5.784478248380502
0.35,15,1,1722,0,33540,958,881,881,32659,0,1722,0.026267143709004175,1.0,0.05118968071816624,1.1845287709295222,3.106822065087462,-5.76284164811511
0.35,20,1,1904,0,33358,958,881,881,32477,0,1904,0.02641045626236585,1.0,0.05146178334647624,1.1799720890649406,3.077971450610687,-5.74133083280141
0.35,30,1,2298,0,32964,958,881,881,32083,0,2298,0.026726125470209926,1.0,0.05206086571133106,1.1686107804757815,3.051377565891533,-5.691384466561807
0.35,40,2,2629,1,1246,958,881,881,365,0,34016,0.7070626003210273,1.0,0.8283968030089328,7.356016274609463,19.794060620279232,-45.33924102570886
0.35,50,2,2894,1,1224,958,881,881,343,0,34038,0.7197712418300654,1.0,0.8370546318289785,7.360758963459,19.824514386654215,-45.360544182023524
0.35,60,2,3105,1,1222,958,881,881,341,0,34040,0.720949263502455,1.0,0.8378506894912031,7.360989577932402,19.824514386654215,-45.36074377525472
0.35,70,2,3276,1,1218,958,881,881,337,0,34044,0.7233169129720853,1.0,0.8394473558837542,7.361105701754807,19.829183682899036,-45.36193897522361
0.35,80,2,3472,1,1214,958,881,881,333,0,34048,0.7257001647446458,1.0,0.8410501193317423,7.361253318059244,19.831384735480285,-45.368293285953804
0.35,120,2,4059,1,1211,958,881,881,330,0,34051,0.7274979355904211,1.0,0.8422562141491395,7.362058685060756,19.83439266826357,-45.37377577677705
0.35,200,2,4960,1,1197,958,881,881,316,0,34065,0.7360066833751044,1.0,0.8479307025986526,7.364247553292616,19.83778070687911,-45.38210001648304
0.35,400,2,6252,1,1191,958,881,881,310,0,34071,0.7397145256087322,1.0,0.8503861003861003,7.365650912464818,19.843612051501747,-45.39186369950472
